,id,Video,ahash,phash,dhash,whash,colorhash,a,lc,ham_dist,dif
95,d93,augment84,0303c1e7c7cdf979,e9360d1a24cd7ace,368f8b168d99d3f3,0303c1e7c5c9f979,7600600000,141,563,0.625,-1
96,d94,augment85,0743c7e7e5e16979,e1340d3b9e92da39,db9a9e8c8bcbcbc3,034347e7e5e16179,06c00440000,143,573,0.453125,-1
97,d95,augment86,e1e3e1c1c7cfd973,e0624d3906493fef,c38e4d958c1bb3c6,60e2e1c1c7cbc973,06e00240000,157,627,0.453125,1
98,d96,augment87,f0d0e1e323677f7f,a16c5c2785e7658d,86b103cbdececcf0,e0d0e0e32327677e,07c00400000,144,578,0.375,-1
99,d97,augment88,f0e8f0a327272f7e,a76d48378da5e4a4,5211874e4e4eccf0,e0e0f0a327272f3e,7600400000,156,625,0.421875,1
100,d98,augment89,f0c0e3a3a7a7273e,e76848378ce664e6,0412864e4e4e4c70,f0c0e0a3a7a7273e,7600400000,144,578,0.375,-1
101,d99,augment90,17170f84e4e6f67e,b4388d745a3e39b1,35e63d2d040444f8,07070f84e4e2f67e,07c00400000,158,630,0.5,1
102,d100,augment91,070bc7c7e4e4fcfc,f23d0972d4b333c8,df121e0d0d8dc9e0,070b87c7c4e4ec7c,7600400000,143,572,0.46875,-1
103,d101,augment92,008fc787e3d3cfe4,b71f134d631066e3,5b7c8c5ecb331ccd,0007c787e3d3cfe4,7600600000,143,574,0.4375,-1
104,d102,augment93,f0e8f0a327276f7e,a76d58370da5e4a4,5210c34a4ecec8f0,e0e0f0a327272f3e,7600400000,144,578,0.375,-1
105,d103,augment94,00007eafa8f9e161,e315604b3bb7906b,11c4ac4e53d1cb89,0020feafe9f9e161,03c02000000,125,21,0.390625,1
106,d104,augment95,20707896949d1d0f,8a45817e3d3dcc56,c9c8e0346d61799b,20707e9695bd1d0f,03c03000000,127,21,0.5625,1
107,d105,augment96,00043efda9bcf0f0,df10744b6aa495b3,306cecd959516626,80047efdadbcf0b0,03c02000000,121,20,0.046875,1
108,d106,augment97,00707896143d0d0f,8a45a11e3d1fcc57,c9c8e0646565dd99,20707e97953d1d0f,03c03000000,114,19,0.515625,-1
109,d107,augment98,00030d756e0f41e0,a80e7d15d52a1bad,3dfbb9cd96ba9793,010f1d757f1f43e0,03c02000000,113,19,0.5625,-1
110,d108,augment99,0c0e1d306c3cb8f8,db10fc17606e49e9,5cd8f9f1d9486323,0c0e1d71ecbcb8f8,03c03000000,116,19,0.359375,-1
111,d109,augment100,0030b81c361d1b1f,8e52ad533439dea4,34e46470ec297376,0030bc9e37bd1b1f,03c03000000,115,19,0.453125,-1
112,d110,augment101,000e3ef86cbcb0f0,df107c47686e9591,604cf89959586222,000e3ef9ecbcb8f0,03c02000000,118,20,0.15625,-1
113,d111,augment102,0c1d19316c3cd8d8,c907d816726ceb55,7959f3e3c82ab391,081f39796c7cd8d8,03c02000000,115,19,0.4375,-1
114,d112,augment103,00c0b82ff7f88303,fd532c4880374f7c,430062dc96221276,00f0b86ffff88303,03c02000000,125,21,0.4375,1
115,d113,augment104,00607896943d0d0f,8a45211e3d1dce77,d9c8ca646575dd99,00707e97959d1d4f,03c03000000,126,21,0.5,1
116,d114,augment105,000e0ef86c3cb8d8,df107c07684f91b5,69dcf8d1d84a6323,000e3ff86cbcb8f8,03c02000000,117,20,0.25,-1
117,d115,augment106,00c0b0ae77f88307,f55b2840843fcfe8,0300604c86221676,00f0b8aefff88307,03c02000000,114,19,0.515625,-1
118,d116,augment107,0c0c19116c3cd8d8,da13fc17606c09f5,7858fbf1c9682333,080e3979ecbcf8d8,03c03000000,124,21,0.34375,1
119,d117,augment108,00707096943d0f0f,8a47a11a3d38cef6,6bc9e03465619b9b,00707c9eb53d1f0f,03c02000000,115,19,0.453125,-1
120,d118,augment109,0030988c361d1b1f,8e522d433639fae4,79653038ecab3276,00b89c9e373d1b1f,03c02000000,126,21,0.46875,1
121,d119,augment110,0000fff6163e0e06,956a301d66fbc970,67d8ca447474dccc,0100ffff3e3e0e06,03c02000000,114,19,0.515625,-1
122,d120,augment111,0040be2f69f9e1c1,e11768483397dc75,5182565c93b18b1b,0060bf2f69f9f1c1,03c02000000,125,21,0.421875,1
123,d121,augment112,0000def69f1f8381,bf402a1f75f08b2c,8f7e9c84767b2723,0004fef69f9f9381,03c02000000,124,21,0.328125,1
124,d122,augment113,30b8980c363c193b,8f568d42211bbe7c,60603078ec6973f6,30f8980e763d393b,03c03000000,114,19,0.515625,-1
125,d123,augment114,000109754f0e43c1,a80f7d14e26799ac,9f7ddbcd95be9693,00071f755f5fc3c1,03c02000000,114,19,0.46875,-1
126,d124,augment115,60f03c0f36341c1d,8665fa54291b0f3e,c0e46075e4e43d39,6070381f377e1d1d,03c03000000,114,19,0.46875,-1
127,d125,augment116,0000fef69f1f8381,bf502a1d55f08b3c,9e76948476732767,0000fff69f9f8781,03c02000000,125,21,0.375,1
128,d126,augment117,00007eaea9f9e1e0,ff1462e977a4902a,1b44ac4c53534b4d,0000feaea9f9f1e5,03c02000000,124,21,0.34375,1
129,d127,augment118,000109754f1ec3c1,a00f7d14e267993d,9f7ddbcd95be9693,00077d755f1fc3c1,03c02000000,125,21,0.453125,1
130,d128,augment119,00207096943d0f0f,8a45291e3db9c2e7,f3c9e06465f5999b,00307e9fb53d0f0f,03c02000000,113,19,0.546875,-1
131,d129,augment120,00007e75959d8f07,aa4137be22f1c13e,27d9caad35352d4d,00287f75959f8f25,03e02000000,126,21,0.46875,1
132,d130,augment121,000e0ff86c3cb8f8,df10ee01784f98b3,69dcf851d8d84323,000e3ff86c3eb8f8,03c03000000,124,21,0.3125,1
133,d131,augment122,00061e6929bcf0f0,df10744b68c09db7,306cacd959514446,00067eeda9bdf0f0,03c02000000,121,20,0.09375,1
134,d132,augment123,001d19106c3cdcec,d80df016674cef31,a1f9f3f1c869b188,001d19786ebcdcfc,03c03000000,125,21,0.421875,1
135,d133,augment124,00035df4de1f83c1,b803691df5e29a2d,bd7e9dc4b63a3793,00075df6de1fc3c1,03c02000000,126,21,0.46875,1
